Genes,Function
FAU,Ribosome
MRPL1,Ribosome
MRPL3,Ribosome
MRPL11,Ribosome
MRPL12,Ribosome
MRPL13,Ribosome
MRPL14,Ribosome
MRPL17,Ribosome
MRPL20,Ribosome
MRPL24,Ribosome
MRPL28,Ribosome
MRPL33,Ribosome
MRPS6,Ribosome
MRPS11,Ribosome
MRPS16,Ribosome
ATP5E,Parkinson's disease
MT-ND3,Parkinson's disease
NDUFB4,Parkinson's disease
UQCR10,Parkinson's disease
COX7B,Parkinson's disease
UQCRH,Parkinson's disease
NDUFA7,Parkinson's disease
NDUFB2,Parkinson's disease
COX6C,Parkinson's disease
NDUFA4,Parkinson's disease
NDUFB8,Parkinson's disease
NDUFS4,Parkinson's disease
UQCR11,Parkinson's disease
NDUFS6,Parkinson's disease
UQCRQ,Parkinson's disease
COX7A2,Parkinson's disease
COX6B1,Parkinson's disease
COX7C,Parkinson's disease
NDUFA3,Parkinson's disease
NDUFB9,Parkinson's disease
NDUFB6,Parkinson's disease
ATP5C1,Parkinson's disease
MT-CO1,Parkinson's disease
MT-CO2,Parkinson's disease
NDUFA6,Parkinson's disease
CTSE,Lysosome
SGSH,Lysosome
CTSZ,Lysosome
ABCA2,Lysosome
GAA,Lysosome
GM2A,Lysosome
HYAL1,Lysosome
GALC,Lysosome
MAN2B1,Lysosome
ARSG,Lysosome
GNPTAB,Lysosome
CD63,Lysosome
CTSB,Lysosome
GNS,Lysosome
SORT1,Lysosome
LAMP1,Lysosome
NAGA,Lysosome
CD68,Lysosome
NPC1,Lysosome
CTSS,Lysosome
LAPTM5,Lysosome
MANBA,Lysosome
GGA2,Lysosome
NAGLU,Lysosome
GLB1,Lysosome
ABCA1,ABC transporters
ABCA2,ABC transporters
ABCA3,ABC transporters
ABCA7,ABC transporters
ABCC1,ABC transporters
ABCC3,ABC transporters
ABCC4,ABC transporters
ABCD1,ABC transporters
ABCG1,ABC transporters
TAP1,ABC transporters
TAP2,ABC transporters
